"product_id","brand","model","year","price","distance"
4,"Toyota","Toyota Yaris",2020,330000000,0
11,"Toyota","Toyota Calya",2019,480000000,0
11,"Toyota","Toyota Calya",2019,740000000,0
14,"Toyota","Toyota Calya",2016,670000000,0
27,"Daihatsu","Daihatsu Xenia",2022,580000000,0
27,"Daihatsu","Daihatsu Xenia",2022,750000000,0
28,"Daihatsu","Daihatsu Xenia",2017,590000000,0
29,"Daihatsu","Daihatsu Xenia",2014,560000000,0
31,"Honda","Honda Jazz",2018,660000000,0
44,"Honda","Honda Civic",2013,390000000,0
47,"Suzuki","Suzuki Ertiga",2018,170000000,0
1,"Toyota","Toyota Yaris",2016,160000000,4.593871961124106
6,"Toyota","Toyota Agya",2019,410000000,4.593871961124106
29,"Daihatsu","Daihatsu Xenia",2014,470000000,4.593871961124106
42,"Honda","Honda Civic",2010,730000000,4.593871961124106
2,"Toyota","Toyota Yaris",2018,410000000,6.148485937668449
2,"Toyota","Toyota Yaris",2018,640000000,6.148485937668449
5,"Toyota","Toyota Yaris",2012,680000000,6.148485937668449
15,"Toyota","Toyota Calya",2016,700000000,6.148485937668449
17,"Daihatsu","Daihatsu Ayla",2019,290000000,6.148485937668449
23,"Daihatsu","Daihatsu Terios",2019,790000000,6.148485937668449
27,"Daihatsu","Daihatsu Xenia",2022,780000000,6.148485937668449
28,"Daihatsu","Daihatsu Xenia",2017,480000000,6.148485937668449
28,"Daihatsu","Daihatsu Xenia",2017,570000000,6.148485937668449
38,"Honda","Honda CR-V",2009,730000000,6.148485937668449
11,"Toyota","Toyota Calya",2019,740000000,17.024864555643184
16,"Daihatsu","Daihatsu Ayla",2016,690000000,17.024864555643184
22,"Daihatsu","Daihatsu Terios",2022,760000000,17.024864555643184
27,"Daihatsu","Daihatsu Xenia",2022,270000000,17.024864555643184
29,"Daihatsu","Daihatsu Xenia",2014,270000000,17.024864555643184
40,"Honda","Honda CR-V",2018,700000000,17.024864555643184
41,"Honda","Honda Civic",2018,450000000,17.024864555643184
5,"Toyota","Toyota Yaris",2012,680000000,18.39640923416973
8,"Toyota","Toyota Agya",2016,710000000,18.39640923416973
10,"Toyota","Toyota Agya",2017,800000000,18.39640923416973
26,"Daihatsu","Daihatsu Xenia",2019,730000000,18.39640923416973
31,"Honda","Honda Jazz",2018,120000000,18.39640923416973
49,"Suzuki","Suzuki Ertiga",2012,640000000,18.39640923416973
1,"Toyota","Toyota Yaris",2016,160000000,123.51725164728565
5,"Toyota","Toyota Yaris",2012,140000000,123.51725164728565
6,"Toyota","Toyota Agya",2019,410000000,123.51725164728565
8,"Toyota","Toyota Agya",2016,710000000,123.51725164728565
22,"Daihatsu","Daihatsu Terios",2022,760000000,123.51725164728565
23,"Daihatsu","Daihatsu Terios",2019,790000000,123.51725164728565
26,"Daihatsu","Daihatsu Xenia",2019,730000000,123.51725164728565
27,"Daihatsu","Daihatsu Xenia",2022,750000000,123.51725164728565
27,"Daihatsu","Daihatsu Xenia",2022,750000000,123.51725164728565
30,"Daihatsu","Daihatsu Xenia",2018,330000000,123.51725164728565
42,"Honda","Honda Civic",2010,200000000,123.51725164728565
44,"Honda","Honda Civic",2013,390000000,123.51725164728565
44,"Honda","Honda Civic",2013,390000000,123.51725164728565
46,"Suzuki","Suzuki Ertiga",2015,290000000,123.51725164728565
49,"Suzuki","Suzuki Ertiga",2012,640000000,123.51725164728565
8,"Toyota","Toyota Agya",2016,710000000,433.7592707636288
15,"Toyota","Toyota Calya",2016,100000000,433.7592707636288
26,"Daihatsu","Daihatsu Xenia",2019,730000000,433.7592707636288
47,"Suzuki","Suzuki Ertiga",2018,170000000,433.7592707636288
49,"Suzuki","Suzuki Ertiga",2012,640000000,433.7592707636288
1,"Toyota","Toyota Yaris",2016,160000000,666.3390549364764
11,"Toyota","Toyota Calya",2019,480000000,666.3390549364764
27,"Daihatsu","Daihatsu Xenia",2022,580000000,666.3390549364764
29,"Daihatsu","Daihatsu Xenia",2014,210000000,666.3390549364764
29,"Daihatsu","Daihatsu Xenia",2014,210000000,666.3390549364764
11,"Toyota","Toyota Calya",2019,480000000,673.5316288002697
11,"Toyota","Toyota Calya",2019,480000000,673.5316288002697
27,"Daihatsu","Daihatsu Xenia",2022,580000000,673.5316288002697
27,"Daihatsu","Daihatsu Xenia",2022,580000000,673.5316288002697
2,"Toyota","Toyota Yaris",2018,420000000,919.850529142566
11,"Toyota","Toyota Calya",2019,480000000,919.850529142566
27,"Daihatsu","Daihatsu Xenia",2022,580000000,919.850529142566
30,"Daihatsu","Daihatsu Xenia",2018,330000000,919.850529142566
42,"Honda","Honda Civic",2010,200000000,919.850529142566
47,"Suzuki","Suzuki Ertiga",2018,440000000,919.850529142566
47,"Suzuki","Suzuki Ertiga",2018,440000000,919.850529142566
48,"Suzuki","Suzuki Ertiga",2016,200000000,919.850529142566
30,"Daihatsu","Daihatsu Xenia",2018,450000000,965.1845591805483
33,"Honda","Honda Jazz",2018,430000000,965.1845591805483
44,"Honda","Honda Civic",2013,770000000,965.1845591805483
47,"Suzuki","Suzuki Ertiga",2018,440000000,965.1845591805483
2,"Toyota","Toyota Yaris",2018,420000000,968.5986511040411
28,"Daihatsu","Daihatsu Xenia",2017,590000000,968.5986511040411
29,"Daihatsu","Daihatsu Xenia",2014,270000000,968.5986511040411
30,"Daihatsu","Daihatsu Xenia",2018,110000000,968.5986511040411
33,"Honda","Honda Jazz",2018,430000000,968.5986511040411
34,"Honda","Honda Jazz",2015,250000000,968.5986511040411
40,"Honda","Honda CR-V",2018,500000000,968.5986511040411
40,"Honda","Honda CR-V",2018,700000000,968.5986511040411
42,"Honda","Honda Civic",2010,750000000,968.5986511040411
48,"Suzuki","Suzuki Ertiga",2016,200000000,968.5986511040411
1,"Toyota","Toyota Yaris",2016,470000000,1235.9424854455547
11,"Toyota","Toyota Calya",2019,740000000,1235.9424854455547
30,"Daihatsu","Daihatsu Xenia",2018,110000000,1235.9424854455547
34,"Honda","Honda Jazz",2015,250000000,1235.9424854455547
39,"Honda","Honda CR-V",2016,640000000,1235.9424854455547
42,"Honda","Honda Civic",2010,570000000,1235.9424854455547
49,"Suzuki","Suzuki Ertiga",2012,130000000,1235.9424854455547
9,"Toyota","Toyota Agya",2022,560000000,1307.2416712825936
9,"Toyota","Toyota Agya",2022,560000000,1307.2416712825936
39,"Honda","Honda CR-V",2016,490000000,1307.2416712825936
40,"Honda","Honda CR-V",2018,110000000,1307.2416712825936
42,"Honda","Honda Civic",2010,750000000,1307.2416712825936
24,"Daihatsu","Daihatsu Terios",2017,620000000,1399.0566524650296
24,"Daihatsu","Daihatsu Terios",2017,160000000,1399.0566524650296
25,"Daihatsu","Daihatsu Terios",2018,690000000,1399.0566524650296
28,"Daihatsu","Daihatsu Xenia",2017,710000000,1399.0566524650296
31,"Honda","Honda Jazz",2018,780000000,1399.0566524650296
31,"Honda","Honda Jazz",2018,780000000,1399.0566524650296
47,"Suzuki","Suzuki Ertiga",2018,440000000,1399.0566524650296
1,"Toyota","Toyota Yaris",2016,240000000,NULL
3,"Toyota","Toyota Yaris",2014,750000000,NULL
5,"Toyota","Toyota Yaris",2012,770000000,NULL
6,"Toyota","Toyota Agya",2019,460000000,NULL
7,"Toyota","Toyota Agya",2014,280000000,NULL
8,"Toyota","Toyota Agya",2016,450000000,NULL
10,"Toyota","Toyota Agya",2017,590000000,NULL
10,"Toyota","Toyota Agya",2017,740000000,NULL
13,"Toyota","Toyota Calya",2017,510000000,NULL
15,"Toyota","Toyota Calya",2016,500000000,NULL
18,"Daihatsu","Daihatsu Ayla",2015,470000000,NULL
18,"Daihatsu","Daihatsu Ayla",2015,370000000,NULL
18,"Daihatsu","Daihatsu Ayla",2015,570000000,NULL
19,"Daihatsu","Daihatsu Ayla",2017,290000000,NULL
20,"Daihatsu","Daihatsu Ayla",2017,460000000,NULL
21,"Daihatsu","Daihatsu Terios",2018,670000000,NULL
24,"Daihatsu","Daihatsu Terios",2017,540000000,NULL
25,"Daihatsu","Daihatsu Terios",2018,770000000,NULL
26,"Daihatsu","Daihatsu Xenia",2019,600000000,NULL
28,"Daihatsu","Daihatsu Xenia",2017,280000000,NULL
33,"Honda","Honda Jazz",2018,310000000,NULL
34,"Honda","Honda Jazz",2015,430000000,NULL
35,"Honda","Honda Jazz",2013,190000000,NULL
35,"Honda","Honda Jazz",2013,270000000,NULL
38,"Honda","Honda CR-V",2009,640000000,NULL
39,"Honda","Honda CR-V",2016,490000000,NULL
40,"Honda","Honda CR-V",2018,500000000,NULL
40,"Honda","Honda CR-V",2018,740000000,NULL
42,"Honda","Honda Civic",2010,500000000,NULL
42,"Honda","Honda Civic",2010,770000000,NULL
45,"Honda","Honda Civic",2019,780000000,NULL
45,"Honda","Honda Civic",2019,310000000,NULL
48,"Suzuki","Suzuki Ertiga",2016,570000000,NULL
50,"Suzuki","Suzuki Ertiga",2018,700000000,NULL
50,"Suzuki","Suzuki Ertiga",2018,340000000,NULL
